entity_name,procedure_number,lot_number,subject,focus_category,price_rub,category_median_price,value_ratio_to_category_median,anomaly_type,anomaly_reason,detail_url
ПАО Сбербанк России,SBR028-2407080033.1,1,г. Москва-6. Процедура продажи б.у. ИТ оборудования в количестве 20 штук.,Other,70000.0,,2.857142857142857,repeated_subject_price_shift,same subject price spread 2.86x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2108813
ПАО Сбербанк России,SBR028-2408050052.1,1,г. Краснодар 2. Процедура продажи б.у. ИТ оборудования в количестве 30 штук.,Other,68400.0,,2.1375,repeated_subject_price_shift,same subject price spread 2.14x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2190334
ПАО Сбербанк России,SBR028-2510200030.1,1,г. Москва1. Процедура продажи б.у. ИТ оборудования в количестве 44 штук.,Other,66000.0,,2.787878787878788,repeated_subject_price_shift,same subject price spread 2.79x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3498976
ПАО Сбербанк России,SBR028-2405140036.1,1,г. Москва. Процедура продажи б.у. ИТ оборудования в количестве 100 штук.,Other,65000.0,,7.7384615384615385,repeated_subject_price_shift,same subject price spread 7.74x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1932861
ПАО Сбербанк России,SBR028-2404230039.1,1,г. Пермь. Процедура продажи б.у. ИТ оборудования в количестве 40 штук.,Other,64000.0,,2.0,repeated_subject_price_shift,same subject price spread 2.00x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1876375
ПАО Сбербанк России,SBR028-2504280018.1,1,г. Волгоград. Процедура продажи б.у. ИТ оборудования в количестве 56 штук.,Other,63600.0,,2.142857142857143,repeated_subject_price_shift,same subject price spread 2.14x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3030614
ПАО Сбербанк России,SBR028-2507140022.1,1,г. Москва-3. Процедура продажи б.у. ИТ оборудования в количестве 15 штук.,Other,62400.0,,3.3684210526315788,repeated_subject_price_shift,same subject price spread 3.37x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3253511
ПАО Сбербанк России,SBR028-2507290042.1,1,г. Сыктывкар 1. Процедура продажи б.у. ИТ оборудования в количестве 118 штук.,Other,60480.0,,2.7099867724867726,repeated_subject_price_shift,same subject price spread 2.71x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3291213
ПАО Сбербанк России,SBR028-2508110033.1,1,г. Москва-5. Процедура продажи б.у. ИТ оборудования в количестве 20 штук.,Other,60000.0,,2.6666666666666665,repeated_subject_price_shift,same subject price spread 2.67x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3323264
ПАО Сбербанк России,SBR028-2503030026.1,1,г. Вологда 1. Процедура продажи б.у. ИТ оборудования в количестве 30 штук.,Other,60000.0,,2.0,repeated_subject_price_shift,same subject price spread 2.00x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2825061
ПАО Сбербанк России,SBR028-2502030023.1,1,г. Москва-5. Процедура продажи б.у. ИТ оборудования в количестве 25 штук.,Other,60000.0,,2.0,repeated_subject_price_shift,same subject price spread 2.00x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2731265
